time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-28 00:00:00+00:00,0,0,12,6
2023-04-30 00:00:00+00:00,0,0,4,2
2023-05-01 00:00:00+00:00,0,0,5,4
2023-05-02 00:00:00+00:00,0,0,10,6
2023-05-03 00:00:00+00:00,0,0,2,2
2023-05-04 00:00:00+00:00,0,0,4,3
2023-05-05 00:00:00+00:00,0,0,10,2
2023-05-06 00:00:00+00:00,0,0,4,2
2023-05-07 00:00:00+00:00,0,0,1,1
2023-05-08 00:00:00+00:00,0,0,4,3
2023-05-09 00:00:00+00:00,0,0,9,5
2023-05-10 00:00:00+00:00,0,0,3,3
2023-05-11 00:00:00+00:00,7,5,70,4
2023-05-12 00:00:00+00:00,5,4,39,3
2023-05-13 00:00:00+00:00,2,2,16,2
2023-05-14 00:00:00+00:00,2,2,1,1
2023-05-15 00:00:00+00:00,3,3,23,3
2023-05-16 00:00:00+00:00,2,2,32,4
2023-05-17 00:00:00+00:00,2,2,11,2
2023-05-18 00:00:00+00:00,2,2,4,3
2023-05-19 00:00:00+00:00,2,2,13,4
2023-05-20 00:00:00+00:00,1,1,2,1
2023-05-21 00:00:00+00:00,3,2,1,1
2023-05-22 00:00:00+00:00,5,4,5,4
2023-05-23 00:00:00+00:00,2,2,14,4
2023-05-24 00:00:00+00:00,1,1,36,4
2023-05-25 00:00:00+00:00,1,1,12,4
2023-05-26 00:00:00+00:00,1,1,8,3
2023-05-27 00:00:00+00:00,2,2,1,1
2023-05-28 00:00:00+00:00,1,1,0,0
2023-05-29 00:00:00+00:00,4,3,2,2
2023-05-30 00:00:00+00:00,3,2,5,2
2023-05-31 00:00:00+00:00,1,1,2,2
2023-06-01 00:00:00+00:00,3,2,2,2
2023-06-02 00:00:00+00:00,1,1,5,3
2023-06-03 00:00:00+00:00,2,2,4,2
2023-06-04 00:00:00+00:00,1,1,3,2
2023-06-05 00:00:00+00:00,2,2,12,4
2023-06-06 00:00:00+00:00,1,1,13,7
2023-06-07 00:00:00+00:00,1,1,11,5
2023-06-08 00:00:00+00:00,1,1,14,10
2023-06-09 00:00:00+00:00,1,1,6,3
2023-06-10 00:00:00+00:00,2,2,5,2
2023-06-11 00:00:00+00:00,1,1,5,5
2023-06-12 00:00:00+00:00,2,2,10,6
2023-06-13 00:00:00+00:00,1,1,10,5
2023-06-14 00:00:00+00:00,1,1,9,8
2023-06-15 00:00:00+00:00,1,1,8,5
2023-06-16 00:00:00+00:00,1,1,4,4
2023-06-17 00:00:00+00:00,1,1,0,0
2023-06-18 00:00:00+00:00,1,1,0,0
2023-06-19 00:00:00+00:00,2,2,6,5
2023-06-20 00:00:00+00:00,1,1,6,6
2023-06-21 00:00:00+00:00,1,1,5,4
2023-06-22 00:00:00+00:00,3,2,3,3
2023-06-23 00:00:00+00:00,1,1,2,1
2023-06-24 00:00:00+00:00,0,0,2,1
